abcgo2003-00001	「abc ～the first～」へようこそ!さて、ABC・・・と始まるアルファベットは、全部で何文字でしょう？	26文字	２６
abcgo2003-00002	人気漫画『ドラえもん』の登場人物で、ジャイアンの苗字は剛田ですが、スネ夫の苗字は何でしょう？	骨川(滑川も正解)	ホネガワ
abcgo2003-00003	格闘家ボブ・サップの出身国はどこでしょう？	アメリカ	アメリカ
abcgo2003-00004	ロシア語で「城」という意味がある、ロシアの大統領府の別名は何でしょう？	クレムリン	クレムリン
abcgo2003-00005	織田信長、豊臣秀吉、徳川家康という3人の戦国武将の性格を表現するのに用いられる鳥は何でしょう？	ホトトギス	ホトトギス
abcgo2003-00006	人気タレント・タモリの本名は何でしょう？	森田一義	モリタカズヨシ
abcgo2003-00007	2つのサイコロをふったとき、ゾロ目が出る確率は何分のいくつでしょう？	6分の1	６ブンノ１
abcgo2003-00008	「国際連合」の旗に描かれている植物といったら何でしょう？	オリーブ	オリーブ
abcgo2003-00009	アンデルセンの自叙伝とも言われている物語で、いじめられっこが実は白鳥だったというお話は何でしょう？	『みにくいあひるの子』	ミニクイアヒルノコ
abcgo2003-00010	男性の声の音域で、テノールとバスの間に当たるのは何でしょう？	バリトン	バリトン
abcgo2003-00011	中華料理の飲茶で使われる、軽食やお菓子のことを何というでしょう？	点心	テンシン
abcgo2003-00012	「たけやぶやけた」などのように、前から読んでも後ろから読んでも同じになる文章を何というでしょう？	回文	カイブン
abcgo2003-00013	ゴルフボールの表面につけられているくぼみのことを何というでしょう？	ディンプル	ディンプル
abcgo2003-00014	別名を『ラ・ジョコンダ』という、レオナルド・ダ・ヴィンチが描いた絵画といえば何でしょう？	『モナ・リザ』	モナリザ
abcgo2003-00015	「東京湾」は2つの半島に囲まれていますが、それは房総半島と何半島でしょう？	三浦半島	ミウラハントウ
abcgo2003-00016	市販の自動車に手を加えて、性能を高めることを英語で何というでしょう？	チューンナップ	チューンナップ
abcgo2003-00017	1840年に勃発し、香港がイギリスに割譲される結果に終わった戦争を、原因となった麻薬から何というでしょう？	アヘン戦争 (Opium War)	アヘンセンソウ
abcgo2003-00018	気象用語で「平年」といえば、過去何年間の平均値のことでしょう？	30年	３０
abcgo2003-00019	1号は本郷猛、2号は一文字隼人がその正体である、テレビヒーローといえば何でしょう？	仮面ライダー	カメンライダー
abcgo2003-00020	日本国憲法に定められている国民の三大義務とは、勤労、教育と何でしょう？	納税	ノウゼイ
abcgo2003-00021	太棹、中棹、細棹といえば、どんな楽器の種類でしょう？	三味線	シャミセン
abcgo2003-00022	代表作に『日本の黒い霧』や『点と線』などがある、推理作家は誰でしょう？	松本清張	マツモトセイチョウ
abcgo2003-00023	料理のときに使う計量スプーンで、大さじ1杯といったら通常何ccでしょう？	15cc	１５
abcgo2003-00024	スキー板に靴を取り付けるための締め具のことを何というでしょう？	ビンディング	ビンディング
abcgo2003-00025	オーストラリアの国旗に星は6つありますが、ニュージーランドの国旗には星がいくつあるでしょう？	4つ	４
